goos: linux
goarch: amd64
pkg: github.com/kellabyte/go-benchmarks/hashing
BenchmarkBlake2B/1-40       	 3000000	       434 ns/op	   2.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/2-40       	 3000000	       405 ns/op	   4.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/4-40       	 3000000	       391 ns/op	  10.21 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/8-40       	 3000000	       386 ns/op	  20.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/32-40      	 3000000	       389 ns/op	  82.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/64-40      	 5000000	       349 ns/op	 182.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/128-40     	 5000000	       309 ns/op	 412.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/256-40     	 2000000	       551 ns/op	 463.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/512-40     	 2000000	      1021 ns/op	 501.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/1024-40    	 1000000	      1666 ns/op	 614.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/4096-40    	  200000	      6092 ns/op	 672.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkBlake2B/8192-40    	  100000	     12200 ns/op	 671.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/1-40         	100000000	        17.3 ns/op	  57.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/2-40         	100000000	        16.7 ns/op	 119.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/4-40         	100000000	        17.7 ns/op	 226.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/8-40         	100000000	        19.4 ns/op	 412.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/32-40        	50000000	        22.9 ns/op	1397.94 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/64-40        	50000000	        26.1 ns/op	2449.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/128-40       	50000000	        33.8 ns/op	3789.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/256-40       	30000000	        49.9 ns/op	5127.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/512-40       	20000000	        53.7 ns/op	9539.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/1024-40      	20000000	        83.9 ns/op	12197.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/4096-40      	10000000	       204 ns/op	19982.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkCRC32/8192-40      	 3000000	       396 ns/op	20671.53 MB/s	       0 B/op	       0 allocs/op
